title,description,skills,experience,domain
Data Scientist,"Looking for a Data Scientist with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",2,AI
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",1,Data
Backend Developer,"Looking for a Backend Developer with experience in react, javascript, html, css and software development.","react,javascript,html,css",4,Web
Machine Learning Engineer,"Looking for a Machine Learning Engineer with experience in python, nlp, deep learning and software development.","python,nlp,deep learning",5,AI
Data Scientist,"Looking for a Data Scientist with experience in python, nlp, deep learning and software development.","python,nlp,deep learning",1,AI
Data Scientist,"Looking for a Data Scientist with experience in python, nlp, deep learning and software development.","python,nlp,deep learning",3,AI
AI Engineer,"Looking for a AI Engineer with experience in python, machine learning, sql and software development.","python,machine learning,sql",1,AI
Full Stack Developer,"Looking for a Full Stack Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",4,Web
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in python, sql, excel and software development.","python,sql,excel",5,Data
Data Analyst,"Looking for a Data Analyst with experience in sql, power bi, excel and software development.","sql,power bi,excel",5,Data
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in sql, power bi, excel and software development.","sql,power bi,excel",5,Data
NLP Engineer,"Looking for a NLP Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",3,AI
Machine Learning Engineer,"Looking for a Machine Learning Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",5,AI
AI Engineer,"Looking for a AI Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",1,AI
Full Stack Developer,"Looking for a Full Stack Developer with experience in react, css, javascript and software development.","react,css,javascript",4,Web
NLP Engineer,"Looking for a NLP Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",2,AI
Backend Developer,"Looking for a Backend Developer with experience in html, css, javascript and software development.","html,css,javascript",4,Web
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in sql, power bi, excel and software development.","sql,power bi,excel",1,Data
Backend Developer,"Looking for a Backend Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",3,Web
Full Stack Developer,"Looking for a Full Stack Developer with experience in html, css, javascript and software development.","html,css,javascript",3,Web
NLP Engineer,"Looking for a NLP Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",1,AI
Backend Developer,"Looking for a Backend Developer with experience in html, css, javascript and software development.","html,css,javascript",1,Web
AI Engineer,"Looking for a AI Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",3,AI
Machine Learning Engineer,"Looking for a Machine Learning Engineer with experience in python, nlp, deep learning and software development.","python,nlp,deep learning",2,AI
Frontend Developer,"Looking for a Frontend Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",2,Web
AI Engineer,"Looking for a AI Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",2,AI
Frontend Developer,"Looking for a Frontend Developer with experience in react, javascript, html, css and software development.","react,javascript,html,css",3,Web
Data Scientist,"Looking for a Data Scientist with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",3,AI
AI Engineer,"Looking for a AI Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",1,AI
Backend Developer,"Looking for a Backend Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",3,Web
Computer Vision Engineer,"Looking for a Computer Vision Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",2,AI
Data Analyst,"Looking for a Data Analyst with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",2,Data
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in sql, power bi, excel and software development.","sql,power bi,excel",4,Data
Frontend Developer,"Looking for a Frontend Developer with experience in react, css, javascript and software development.","react,css,javascript",1,Web
NLP Engineer,"Looking for a NLP Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",4,AI
Computer Vision Engineer,"Looking for a Computer Vision Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",4,AI
AI Engineer,"Looking for a AI Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",5,AI
Backend Developer,"Looking for a Backend Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",4,Web
NLP Engineer,"Looking for a NLP Engineer with experience in python, machine learning, sql and software development.","python,machine learning,sql",3,AI
Frontend Developer,"Looking for a Frontend Developer with experience in html, css, javascript and software development.","html,css,javascript",2,Web
NLP Engineer,"Looking for a NLP Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",2,AI
NLP Engineer,"Looking for a NLP Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",3,AI
Backend Developer,"Looking for a Backend Developer with experience in react, css, javascript and software development.","react,css,javascript",4,Web
Backend Developer,"Looking for a Backend Developer with experience in react, javascript, html, css and software development.","react,javascript,html,css",4,Web
Data Analyst,"Looking for a Data Analyst with experience in python, sql, excel and software development.","python,sql,excel",3,Data
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in python, sql, excel and software development.","python,sql,excel",3,Data
Frontend Developer,"Looking for a Frontend Developer with experience in react, javascript, html, css and software development.","react,javascript,html,css",2,Web
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in python, numpy, pandas and software development.","python,numpy,pandas",1,Data
Data Analyst,"Looking for a Data Analyst with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",4,Data
NLP Engineer,"Looking for a NLP Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",2,AI
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",2,Data
AI Engineer,"Looking for a AI Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",4,AI
Data Analyst,"Looking for a Data Analyst with experience in sql, power bi, excel and software development.","sql,power bi,excel",1,Data
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in sql, power bi, excel and software development.","sql,power bi,excel",1,Data
Machine Learning Engineer,"Looking for a Machine Learning Engineer with experience in python, nlp, deep learning and software development.","python,nlp,deep learning",5,AI
AI Engineer,"Looking for a AI Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",4,AI
Frontend Developer,"Looking for a Frontend Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",4,Web
Frontend Developer,"Looking for a Frontend Developer with experience in react, css, javascript and software development.","react,css,javascript",4,Web
Frontend Developer,"Looking for a Frontend Developer with experience in react, css, javascript and software development.","react,css,javascript",3,Web
AI Engineer,"Looking for a AI Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",1,AI
Data Scientist,"Looking for a Data Scientist with experience in python, nlp, deep learning and software development.","python,nlp,deep learning",5,AI
Data Scientist,"Looking for a Data Scientist with experience in python, machine learning, sql and software development.","python,machine learning,sql",3,AI
Frontend Developer,"Looking for a Frontend Developer with experience in react, css, javascript and software development.","react,css,javascript",2,Web
Business Intelligence Analyst,"Looking for a Business Intelligence Analyst with experience in python, sql, excel and software development.","python,sql,excel",3,Data
Backend Developer,"Looking for a Backend Developer with experience in react, javascript, html, css and software development.","react,javascript,html,css",2,Web
Frontend Developer,"Looking for a Frontend Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",2,Web
Data Scientist,"Looking for a Data Scientist with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",3,AI
Full Stack Developer,"Looking for a Full Stack Developer with experience in nodejs, javascript, html and software development.","nodejs,javascript,html",5,Web
Data Scientist,"Looking for a Data Scientist with experience in python, nlp, deep learning and software development.","python,nlp,deep learning",5,AI
Data Analyst,"Looking for a Data Analyst with experience in python, numpy, pandas and software development.","python,numpy,pandas",3,Data
Full Stack Developer,"Looking for a Full Stack Developer with experience in html, css, javascript and software development.","html,css,javascript",4,Web
Machine Learning Engineer,"Looking for a Machine Learning Engineer with experience in python, machine learning, sql and software development.","python,machine learning,sql",3,AI
Frontend Developer,"Looking for a Frontend Developer with experience in html, css, javascript and software development.","html,css,javascript",3,Web
Data Analyst,"Looking for a Data Analyst with experience in sql, power bi, excel and software development.","sql,power bi,excel",5,Data
Machine Learning Engineer,"Looking for a Machine Learning Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",3,AI
Backend Developer,"Looking for a Backend Developer with experience in html, css, javascript and software development.","html,css,javascript",3,Web
AI Engineer,"Looking for a AI Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",1,AI
AI Engineer,"Looking for a AI Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",1,AI
AI Engineer,"Looking for a AI Engineer with experience in python, machine learning, sql and software development.","python,machine learning,sql",2,AI
Full Stack Developer,"Looking for a Full Stack Developer with experience in html, css, javascript and software development.","html,css,javascript",5,Web
Frontend Developer,"Looking for a Frontend Developer with experience in react, css, javascript and software development.","react,css,javascript",5,Web
Data Analyst,"Looking for a Data Analyst with experience in python, sql, excel and software development.","python,sql,excel",5,Data
Full Stack Developer,"Looking for a Full Stack Developer with experience in react, javascript, html, css and software development.","react,javascript,html,css",2,Web
AI Engineer,"Looking for a AI Engineer with experience in python, machine learning, sql and software development.","python,machine learning,sql",1,AI
Machine Learning Engineer,"Looking for a Machine Learning Engineer with experience in python, pandas, data analysis and software development.","python,pandas,data analysis",4,AI
NLP Engineer,"Looking for a NLP Engineer with experience in python, tensorflow, pytorch and software development.","python,tensorflow,pytorch",1,AI
